procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 17602916 5249132  11892 5507560    0    0     0    62 1940 3242  0  0 100  0  0
 0  0 17602884 5249012  11892 5507560    0    0     0   270 1088 3181  0  0 100  0  0
 0  0 17602860 5251172  11968 5507516   32    0    46   182 1051 3154  0  0 100  0  0
 0  0 17602828 5251540  11968 5507592    0    0     0     2 1015 3140  0  0 100  0  0
10  0 17602808 5430044  11976 5331664    6    0     6    66 1216 4397 10  1 89  0  0
15  0 17602804 5406112  11976 5281476    0    0     0    12 10888 7933 86  6  7  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  0 17602768 5298480  11976 5281560   16    0    16     0 1051 4959 93  5  1  0  0
16  0 17602744 5131368  11988 5281580   16    0    16   166 1065 4937 92  5  3  0  0
 3  0 17602720 5082140  11988 5281556   16    0    16     8 2380 4826 92  5  3  0  0
16  0 17602696 5014376  12012 5281544    0    0     0   174 1570 4957 93  5  2  0  0
10  0 17602692 4856184  12012 5281540   16    0    16     6 3012 5008 89  5  6  0  0
 5  0 17602652 4739576  12032 5281560   16    0    18   168 6224 5720 87  5  8  0  0
10  0 17602632 4640440  12032 5281572   16    0    16     0 5719 5425 91  6  4  0  0
15  0 17602572 4641472  12032 5281636   16    0    16     0 3649 6206 89  5  6  0  0
13  0 17602572 4586184  12040 5281612    0    0     0    84 5627 5601 93  6  1  0  0
18  0 17602568 4560260  12040 5281588   16    0    16    24 1115 4730 94  5  1  0  0
 8  0 17602532 4544600  12048 5282228   16    0   400    98 3226 5095 85  4 11  0  0
 7  0 17602508 4529840  12048 5282424   16    0    16     0 16738 14280 64  4 31  0  0
 6  0 17602444 4450628  12056 5286312   32    0  2276   154 18356 18850 59  4 36  0  0
 7  1 17602444 4231052  12112 5334032    0    0 23576    88 12006 13582 63  5 28  4  0
 7  2 17602408 4100376  12168 5387944   16    0 27036     4 3705 6830 58  3 35  5  0
 6  1 17602404 4011548  12224 5444252    0    0 28136    72 1846 4800 56  2 36  6  0
 5  1 17602384 3956388  12284 5499560   16    0 27654     0 1816 4330 41  1 51  7  0
 2  0 17602324 3910724  12320 5544444   16    0 22478    10 1416 4372 36  1 58  5  0
 0  0 17602324 3910860  12328 5544348    0    0     0    66 1170 3252  7  0 92  0  0
 0  0 17602280 3911748  12328 5544328   32    0    32     8 1015 3033  0  0 100  0  0
 0  0 17602280 3912860  12336 5544344    0    0     0    72 1019 3014  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 17602256 3913276  12336 5544344   16    0    16     0 1013 3053  0  0 100  0  0
 0  0 17602200 3915128  12336 5544376   16    0    16     6 1023 3131  0  0 100  0  0
 0  0 17602200 3915548  12344 5544344    0    0     0    54 1017 3127  0  0 100  0  0
 0  0 17602164 3916268  12344 5544356   16    0    16     0 1011 3063  0  0 100  0  0
 0  0 17602160 3919360  12484 5544216    0    0    30   294 1064 3310  0  0 99  0  0
 0  0 17602140 3919836  12484 5544368    4    0     4     0 1016 3204  0  0 100  0  0
 0  0 17602084 3919628  12484 5544256   80    0    80    28 1021 3034  0  0 100  0  0
 0  0 17602080 3920356  12492 5544356    0    0     0    76 1018 3096  0  0 100  0  0
 0  0 17602056 3920368  12492 5544320   32    0    32    98 1031 3025  0  0 100  0  0
10  0 17602052 3914276  12500 5544400    0    0     0     0 5118 5959 58  3 39  0  0
14  0 17602032 3890004  12508 5544468    0    0     0   120 20533 14172 82  7 11  0  0
12  0 17601988 3722028  12508 5544436   16    0    16     2 5058 6074 81  4 14  0  0
12  0 17601984 3474248  12528 5544400   16    0    16   156 4227 7337 84  4 12  0  0
16  0 17601960 3409860  12528 5544448   16    0    16    14 4555 6988 90  5  5  0  0
14  4 17601956 3186568  12644 5637512    0    0     0 36296 4105 5918 94  4  2  0  0
15  0 17601932 3073904  12720 5676372   16    0    18 11830 4331 7124 79  3 16  2  0
 5  0 17601884 2929944  12788 5731192   32    0    32     0 1089 3856 78  2 20  0  0
10  0 17601884 2820216  12804 5735088    0    0     0 47410 9497 8539 80  5 14  1  0
 9  0 17601856 2729260  12820 5744652    0    0     0     6 5425 7467 84  4 12  0  0
 9  0 17601856 2571752  12876 5791296    0    0     0     0 4346 5563 62  3 35  0  0
 9  0 17601836 2437840  12896 5801364   16    0    16 29038 8503 9246 78  5 16  1  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 17601776 2204368  13004 5885244   16    0    16     0 5637 7733 27  2 72  0  0
 8  1 17601768 2057288  13028 5897820    0    0     2 52842 1226 4204 67  3 28  3  0
 5  0 17601732 1869504  13036 5897836   16    0    16   196 1222 4334 58  2 39  0  0
11  0 17601728 1839512  13036 5897836    0    0     0     0 4894 7253 46  1 52  0  0
 4  0 17601708 1794316  13048 5899000   16    0    16   530 1175 3947 38  1 61  0  0
 3  0 17601652 1648768  13108 5947780   48    0    48     0 1191 3589 32  1 67  0  0
 1  0 17601648 1648356  13120 5947776    0    0     0 25098 1173 3290  9  0 89  1  0
 0  0 17601608 1648892  13120 5947792   16    0    16     0 1064 3043  2  0 98  0  0
 0  0 17601608 1648704  13120 5947784    0    0     0     0 1014 2968  0  0 100  0  0
 0  0 17601584 1647680  13128 5947784   16    0    16    66 1046 3032  0  0 100  0  0
 0  0 17601524 1647784  13128 5947788   16    0    16     0 1023 3011  0  0 100  0  0
 0  0 17601524 1648580  13136 5947780    0    0     0    70 1017 3029  0  0 100  0  0
 0  0 17601484 1648012  13136 5947792   32    0    32     8 1016 2948  0  0 100  0  0
 0  0 17601484 1649920  13216 5947788    0    0    16   180 1031 3000  0  0 100  0  0
 0  0 17601464 1649808  13216 5947788    0    0     0     6 1020 2888  0  0 100  0  0
 0  0 17601408 1650300  13224 5947780   32    0    32    74 1056 3042  0  0 100  0  0
 0  0 17601400 1650388  13224 5947792    0    0     0     0 1060 3032  0  0 100  0  0
 0  0 17601360 1650700  13224 5947792   32    0    32     2 1024 2981  0  0 100  0  0
 0  0 17601360 1650712  13232 5947788    0    0     0    52 1016 3042  0  0 100  0  0
 0  0 17601304 1650728  13232 5947756   32    0    32    20 1025 3046  0  0 100  0  0
 0  0 17601280 1650368  13240 5947780   16    0    16    52 1026 3082  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 17601276 1648516  13288 5947876    0    0    46   154 1033 3216  0  0 99  0  0
 0  1 17601220 1648364  13412 5947728   52    0   148   182 1066 3212  0  0 99  1  0
 0  1 17601216 1644508  14500 5947812    0    0   536   100 1154 3478  0  0 91  8  0
 0  1 17601160 1639928  15572 5947996   16    0   552     0 1158 3394  0  0 91  8  0
 0  0 17601136 1639704  15580 5947940    0    0     0   432 1027 3055  0  0 100  0  0
12  0 17601132 1815976  15580 5696072    0    0     0     0 1208 6577 69  3 28  0  0
