procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
24  0 162644 3167656  12692 6284800    0    0 15762     0 8177 5898 92  4  4  0  0
10  0 162644 3009176  12724 6318580    0    0 16912     8 6417 4143 94  3  3  0  0
10  0 162644 2889516  12760 6354112    0    0 17938     0 3680 4191 94  3  3  0  0
 8  0 162644 2726828  12776 6373992    0    0  9864     0 6661 6148 70  2 27  0  0
10  0 162644 2633348  12776 6373996    0    0     0    20 5118 5195 67  2 32  0  0
14  0 162644 2458432  12776 6373988    0    0     0     0 6545 6174 85  3 12  0  0
14  0 162644 2419380  12788 6373976    0    0     0   210 11041 4622 94  4  3  0  0
12  0 162644 2338168  12788 6374000    0    0     0     0 8176 5443 89  3  8  0  0
11  0 162644 2259552  12788 6374020    0    0     0     0 4758 4090 93  3  4  0  0
10  0 162644 2256196  12788 6374024    0    0     0     8 4790 5097 88  3  9  0  0
 9  0 162644 2207448  12788 6374052    0    0     0     0 7154 6915 74  2 24  0  0
 7  0 162644 2234868  12788 6374056    0    0     0     0 7640 6098 66  2 32  0  0
 4  0 162644 2139884  12788 6374056    0    0     0     0 6864 6161 37  1 62  0  0
 5  0 162644 2067748  12788 6374044    0    0     0     0 6994 6154 49  1 50  0  0
 6  0 162644 1903712  12796 6374044    0    0     0    92 6314 3637 47  2 51  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 162644 1878076  12796 6374032    0    0     0     0 3343 2200 43  1 56  0  0
 3  0 162644 1879564  12796 6374032    0    0     0     0 2342 1901 31  1 69  0  0
 2  0 162644 1879688  12796 6374032    0    0     0     0 1233 1360 13  0 86  0  0
 0  0 162644 1879720  12796 6374024    0    0     0     0 1063 1161  9  0 91  0  0
 0  0 162644 1879488  12796 6374028    0    0     0    16  687  968  0  0 100  0  0
 0  0 162644 1879892  12796 6374028    0    0     0     0  672  955  0  0 100  0  0
 0  0 162644 1880140  12796 6374016    0    0     0    10  675  949  0  0 100  0  0
 0  0 162644 1880620  12804 6374012    0    0     0    44  644  974  0  0 100  0  0
 0  0 162644 1881148  12804 6374012    0    0     0     0  604  963  0  0 100  0  0
 0  0 162644 1880916  12804 6374012    0    0     0   100  717  956  0  0 100  0  0
 0  0 162644 1881016  12804 6374012    0    0     0     0  615  940  0  0 100  0  0
 0  0 162644 1881032  12804 6374016    0    0     0    10  643  939  0  0 100  0  0
 0  0 162644 1881272  12804 6374012    0    0     0     0  630  938  0  0 100  0  0
 0  0 162644 1881140  12804 6374012    0    0     0     0  648  951  0  0 100  0  0
 0  0 162644 1881428  12812 6374008    0    0     0    32  669  981  0  0 99  0  0
 0  0 162644 1881428  12812 6374008    0    0     0     0  656  946  0  0 100  0  0
 0  0 162644 1881304  12812 6374008    0    0     0     2  652  970  0  0 100  0  0
 0  0 162644 1881428  12812 6374004    0    0     0     0  654  948  0  0 100  0  0
 0  0 162644 1881304  12812 6373992    0    0     0     0  648  932  0  0 100  0  0
 8  0 162644 1881180  12816 6373968    0    0     0     0 1018 1716  2  0 98  0  0
 9  0 162644 1838380  12816 6374064    0    0     0     0 11983 8629 68  2 30  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0 162644 1614792  12816 6374068    0    0     0    16 16198 10251 68  4 28  0  0
 6  0 162644 1523304  12860 6401420    0    0     0    92 15884 8159 75  4 21  0  0
11  0 162644 1369660  12888 6427228    0    0     0     0 4673 3350 76  2 22  0  0
10  0 162644 1099160  12892 6430140    0    0     0    10 5301 4529 87  2 10  0  0
 2  0 162644 940332  12964 6500068    0    0     0     0 2867 2450 42  1 56  0  0
12  0 162644 838744  12972 6507132    0    0     0    12 5650 5358 84  2 14  0  0
15  0 162644 656216  13048 6568480    0    0     0     0 2833 2607 63  2 35  0  0
12  0 162644 498256  13140 6646436    0    0     0     0 7027 3041 94  2  4  0  0
11  1 162644 326152  13228 6711112    0    0     0 48424 4411 2615 93  2  4  1  0
12  1 162644 162928  10768 6719592    0    0     0 85636 14240 2854 90  3  5  2  0
 9  0 162644 198284  10656 6689236    0    0   542 19390 25560 10877 78  4 16  2  0
11  0 162644 159596  10672 6616640    0    0    10     0 27582 4449 86  3 12  0  0
11  0 162644 161968  10688 6453704    0    0     0     0 38430 3076 84  2 14  0  0
 1  0 162644 161456  10764 6422124    0    0   258     0 19879 2433 60  1 39  0  0
 1  0 162644 160216  10764 6422592    0    0     0     0  973  651  8  0 92  0  0
 1  0 162644 160372  10764 6422696    0    0    52    20  934  632  8  0 92  0  0
 1  1 162644 157420  10764 6422696    0    0     0 87672 1093  648  8  0 86  5  0
 8  0 162644 226596  10784 6355844    0    0     0   210 3119 2393 57  1 37  4  0
 5  0 162644 213204  10980 6368456    0    0  2856    16 5101 2843 57  1 39  3  0
 3  0 162644 186956  11016 6395340    0    0     0     0 2047 1622 37  1 63  0  0
 0  0 162644 185940  11016 6395344    0    0     0    10 1203 1323 10  0 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 162644 186608  11016 6395336    0    0     0     0  733  969  0  0 100  0  0
 0  0 162644 186780  11016 6395336    0    0     0     0  659  950  0  0 100  0  0
 0  1 162644 187300  11028 6394724    0    0     0 23432  755  959  0  0 99  1  0
 0  0 162644 187028  11028 6394528    0    0     0     0  716  956  0  0 99  1  0
 0  0 162644 188168  11028 6394388    0    0     0     6  654  949  0  0 100  0  0
 0  0 162644 188044  11028 6394384    0    0     0     0  670  992  0  0 100  0  0
 0  0 162644 186432  11028 6396524    0    0  1152     0  679  946  0  0 100  0  0
 0  0 162644 184448  11028 6398564    0    0  1024     0  688  986  0  0 100  0  0
 0  0 162644 182192  11028 6400600    0    0  1024     0  653  952  0  0 100  0  0
 7  4 162644 401188  11028 6180632    0    0 18816     0 1687 2272 15  1 81  4  0
10  0 162644 240140  11040 6299944    0    0 59262   152 9944 7004 68  3 23  6  0
15  0 162644 280464  11040 6300412    0    0     0     0 11574 8349 88  3  9  0  0
12  0 162644 280960  11040 6300372    0    0     0   228 7303 4076 95  3  3  0  0
 9  0 162644 271280  11040 6310364    0    0  5120     0 5125 5000 80  2 17  0  0
12  0 162644 233360  11040 6348772    0    0 19076    10 7713 6862 84  3 13  0  0
13  0 162644 215528  11040 6365892    0    0  8594     0 4206 4298 96  2  2  0  0
11  0 162644 216016  11040 6365896    0    0     0     0 5462 4503 94  2  4  0  0
11  0 162644 215132  11048 6365924    0    0     0   102 4978 5349 90  2  8  0  0
 9  0 162644 215512  11048 6365868    0    0     0     0 3467 3952 84  2 14  0  0
 8  0 162644 214116  11048 6365892    0    0     0     2 11320 10919 65  2 32  0  0
10  0 162644 207420  11044 6309060    0    0   522     0 22106 11199 69  2 29  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0 162644 267584  11044 6309080    0    0     8     0 13047 8876 84  3 13  0  0
11  1 162644 253920  11588 6309228    0    0   314     6 6377 6186 89  3  5  3  0
10  0 162644 267584  11992 6312480    0    0  1738     0 5074 5006 84  2 13  0  0
 7  0 162644 265624  11992 6314632    0    0  1024     0 5741 5622 72  1 27  0  0
 5  0 162644 265864  12000 6314604    0    0     0    70 4027 4095 55  1 44  0  0
